20:38:31.428 [main] INFO  com.sjq.FeilvbinDingdan - 菲律宾订单生成软件--开始运行
20:38:32.424 [main] INFO  com.sjq.FeilvbinDingdan - 读取产品信息完成 count:1225
20:38:32.443 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾.xlsx start
20:38:32.444 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾.xlsx
20:38:32.503 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾.xlsx 的数据总数:59
20:38:32.504 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 155/65 R13 
20:38:32.505 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 155/65 R13 
20:38:32.505 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 165/65 R13 
20:38:32.505 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 165/65 R13 
20:38:32.505 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 155/70 R13 
20:38:32.505 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 155/70 R13 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 175/65 R14 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 175/65 R14 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/65 R14 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 185/65 R14 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/70 R14 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 185/70 R14 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 175/50 R15 
20:38:32.506 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 175/50 R15 
20:38:32.507 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 195/50 R15 
20:38:32.507 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 195/50 R15 
20:38:32.507 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 205/50 R15 
20:38:32.507 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 205/50 R15 
20:38:32.507 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 175/55 R15 
20:38:32.507 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 175/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 185/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 195/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 195/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 205/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 205/55 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/60 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 185/60 R15 
20:38:32.508 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/65 R15 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 185/65 R15 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 195/65 R15 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 195/65 R15 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 205/65 R15 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 205/65 R15 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/55 R16 
20:38:32.509 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 185/55 R16 
20:38:32.510 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 195/55 R16 
20:38:32.510 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 195/55 R16 
20:38:32.510 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 195/60 R16 
20:38:32.510 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 195/60 R16 
20:38:32.510 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 205/60 R16 
20:38:32.511 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 205/60 R16 
